name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
Johnny Stecchino,R,Comedy,1991,7.2,10000,Roberto Benigni,Roberto Benigni,Roberto Benigni,Italy,NA,626057,Cecchi Gori Group Tiger Cinematografica,October,NA
Stepping Out,PG,Comedy,1991,6.4,1100,Lewis Gilbert,Richard Harris,Liza Minnelli,United States,NA,246000,Paramount Pictures,October,NA
The Inner Circle,PG-13,Biography,1991,7.1,2000,Andrey Konchalovskiy,Andrey Konchalovskiy,Tom Hulce,Italy,NA,93292,Numero Uno International,December,NA
"Mon père, ce héros.",NA,Comedy,1991,6.1,2600,Gérard Lauzier,Gérard Lauzier,Gérard Depardieu,France,NA,NA,Film Par Film,October,NA
Defenseless,R,Mystery,1991,5.6,815,Martin Campbell,James Cresson,Barbara Hershey,United States,NA,6413375,New Visions Pictures,August,NA
Reservoir Dogs,R,Crime,1992,8.3,943000,Quentin Tarantino,Quentin Tarantino,Harvey Keitel,United States,1200000,2913644,Live Entertainment,September,1713644
Basic Instinct,R,Drama,1992,7,186000,Paul Verhoeven,Joe Eszterhas,Michael Douglas,United States,49000000,352927224,Carolco Pictures,March,303927224
Candyman,R,Horror,1992,6.6,74000,Bernard Rose,Clive Barker,Virginia Madsen,United States,6000000,25795897,Candyman Films,October,19795897
My Cousin Vinny,R,Comedy,1992,7.6,112000,Jonathan Lynn,Dale Launer,Joe Pesci,United States,11000000,64088552,Twentieth Century Fox,March,53088552
The Last of the Mohicans,R,Action,1992,7.7,156000,Michael Mann,James Fenimore Cooper,Daniel Day-Lewis,United States,40000000,75505856,Morgan Creek Entertainment,September,35505856
Dracula,R,Horror,1992,7.4,199000,Francis Ford Coppola,Bram Stoker,Gary Oldman,United Kingdom,40000000,215862692,American Zoetrope,November,175862692
Unforgiven,R,Drama,1992,8.2,385000,Clint Eastwood,David Webb Peoples,Clint Eastwood,United States,14400000,159157447,Warner Bros.,August,144757447
A Few Good Men,R,Drama,1992,7.7,242000,Rob Reiner,Aaron Sorkin,Tom Cruise,United States,41000000,243240178,Columbia Pictures,December,202240178
A League of Their Own,PG,Comedy,1992,7.3,97000,Penny Marshall,Kim Wilson,Tom Hanks,United States,40000000,132440069,Columbia Pictures,July,92440069
The Bodyguard,R,Action,1992,6.3,124000,Mick Jackson,Lawrence Kasdan,Kevin Costner,United States,25000000,411006740,Kasdan Pictures,November,386006740
Scent of a Woman,R,Drama,1992,8,274000,Martin Brest,Giovanni Arpino,Al Pacino,United States,31000000,134095253,Universal Pictures,January,103095253
Batman Returns,PG-13,Action,1992,7,280000,Tim Burton,Bob Kane,Michael Keaton,United States,80000000,266892996,Warner Bros.,June,186892996
The Mighty Ducks,PG,Comedy,1992,6.6,62000,Stephen Herek,Steven Brill,Emilio Estevez,United States,10000000,50752337,Avnet/Kerner Productions,October,40752337
Aladdin,G,Animation,1992,8,382000,Ron Clements,Ron Clements,Scott Weinger,United States,28000000,504050219,Walt Disney Pictures,November,476050219
Sister Act,PG,Comedy,1992,6.4,91000,Emile Ardolino,Paul Rudnick,Whoopi Goldberg,United States,31000000,231605150,Touchstone Pictures,May,200605150
Alien 3,R,Action,1992,6.5,284000,David Fincher,Dan O'Bannon,Sigourney Weaver,United States,50000000,159814498,Twentieth Century Fox,May,109814498
Death Becomes Her,PG-13,Comedy,1992,6.6,108000,Robert Zemeckis,Martin Donovan,Meryl Streep,United States,55000000,149022650,Universal Pictures,July,94022650
Far and Away,PG-13,Adventure,1992,6.6,60000,Ron Howard,Bob Dolman,Tom Cruise,United States,60000000,137783840,Imagine Films Entertainment,May,77783840
The Crying Game,R,Crime,1992,7.3,52000,Neil Jordan,Neil Jordan,Stephen Rea,United Kingdom,NA,62548947,Palace Pictures,February,NA
Howards End,PG,Drama,1992,7.4,30000,James Ivory,E.M. Forster,Anthony Hopkins,United Kingdom,NA,26341736,Merchant Ivory Productions,February,NA
Under Siege,R,Action,1992,6.5,80000,Andrew Davis,J.F. Lawton,Steven Seagal,France,35000000,156563139,Warner Bros.,October,121563139
Deep Cover,R,Action,1992,6.9,9500,Bill Duke,Michael Tolkin,Laurence Fishburne,United States,8000000,16639799,Image Organization,April,8639799
Single White Female,R,Drama,1992,6.4,34000,Barbet Schroeder,John Lutz,Bridget Fonda,United States,16000000,48017402,Columbia Pictures,August,32017402
Cool World,PG-13,Animation,1992,4.9,22000,Ralph Bakshi,Michael Grais,Gabriel Byrne,United States,30000000,14110589,Bakshi Animation,July,-15889411
Glengarry Glen Ross,R,Crime,1992,7.7,98000,James Foley,David Mamet,Al Pacino,United States,12500000,10725228,New Line Cinema,October,-1774772
Wayne's World,PG-13,Comedy,1992,7,148000,Penelope Spheeris,Mike Myers,Mike Myers,United States,20000000,183097323,Paramount Pictures,February,163097323
Army of Darkness,R,Comedy,1992,7.5,166000,Sam Raimi,Sam Raimi,Bruce Campbell,United States,11000000,11502976,Dino De Laurentiis Company,February,502976
A River Runs Through It,PG,Drama,1992,7.2,55000,Robert Redford,Norman Maclean,Craig Sheffer,United States,12000000,43440294,Allied Filmmakers,October,31440294
Twin Peaks: Fire Walk with Me,R,Drama,1992,7.3,89000,David Lynch,David Lynch,Sheryl Lee,France,10000000,4184990,New Line Cinema,August,-5815010
Of Mice and Men,PG-13,Drama,1992,7.5,41000,Gary Sinise,John Steinbeck,John Malkovich,United States,NA,5471088,Metro-Goldwyn-Mayer (MGM),October,NA
Beethoven,PG,Comedy,1992,5.7,68000,Brian Levant,John Hughes,Charles Grodin,United States,NA,147214049,Universal Pictures,April,NA
Universal Soldier,R,Action,1992,6,85000,Roland Emmerich,Richard Rothstein,Jean-Claude Van Damme,United States,23000000,36299898,StudioCanal,July,13299898
Buffy the Vampire Slayer,PG-13,Action,1992,5.7,41000,Fran Rubel Kuzui,Joss Whedon,Kristy Swanson,United States,7000000,16624456,Twentieth Century Fox,July,9624456
Sleepwalkers,R,Fantasy,1992,5.3,21000,Mick Garris,Stephen King,Brian Krause,United States,15000000,30524763,Columbia Pictures,April,15524763
Chaplin,PG-13,Biography,1992,7.5,55000,Richard Attenborough,David Robinson,Robert Downey Jr.,United Kingdom,31000000,9493259,Carolco Pictures,January,-21506741
The Lover,R,Biography,1992,6.9,20000,Jean-Jacques Annaud,Marguerite Duras,Jane March,France,NA,5013090,Films A2,October,NA
Home Alone 2: Lost in New York,PG,Adventure,1992,6.8,318000,Chris Columbus,John Hughes,Macaulay Culkin,United States,28000000,358994850,Twentieth Century Fox,November,330994850
The Hand That Rocks the Cradle,R,Drama,1992,6.6,40000,Curtis Hanson,Amanda Silver,Annabella Sciorra,United States,11700000,88036683,Hollywood Pictures,January,76336683
